Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190001,3.88,0.15
190002,7.96,4.68
190003,5.97,1.78
190004,2.18,-1.95
190005,4.75,0.82
190006,2.55,-1.15
190007,3.20,-0.71
190008,2.35,-1.88
190009,2.90,-1.09
190010,3.60,-0.07
190011,6.07,1.95
190012,2.62,-1.38
190101,1.78,-1.95
190102,0.77,-2.51
190103,6.92,2.73
190104,10.05,5.92
190105,7.38,3.45
190106,1.56,-2.14
190107,5.20,1.29
190108,7.55,3.32
190109,5.39,1.40
190110,3.32,-0.35
190111,2.44,-1.68
190112,9.81,5.81
190201,2.43,-1.30
190202,5.74,2.46
190203,6.28,2.09
190204,3.85,-0.28
190205,1.88,-2.05
190206,4.24,0.54
190207,4.93,1.02
190208,2.43,-1.80
190209,7.19,3.20
190210,6.25,2.58
190211,1.35,-2.77
190212,6.84,2.84
190301,3.74,0.01
190302,5.34,2.06
190303,6.95,2.76
190304,3.04,-1.09
190305,0.71,-3.22
190306,9.44,5.74
190307,3.41,-0.50
190308,6.47,2.24
190309,2.21,-1.78
190310,4.64,0.97
190311,2.06,-2.06
190312,3.99,-0.01
190401,3.85,0.12
190402,3.16,-0.12
190403,3.42,-0.77
190404,6.82,2.69
190405,3.13,-0.80
190406,2.84,-0.86
190407,2.85,-1.06
190408,5.60,1.37
190409,4.97,0.98
190410,2.68,-0.99
190411,1.79,-2.33
190412,3.18,-0.82
190501,3.97,0.24
190502,1.60,-1.68
190503,3.61,-0.58
190504,3.27,-0.86
190505,1.31,-2.62
190506,4.64,0.94
190507,3.11,-0.80
190508,4.59,0.36
190509,5.08,1.09
190510,2.64,-1.03
190511,2.46,-1.66
190512,4.33,0.33
190601,3.18,-0.55
190602,2.79,-0.49
190603,5.48,1.29
190604,4.33,0.20
190605,5.50,1.57
190606,3.72,0.02
190607,5.30,1.39
190608,2.59,-1.64
190609,2.88,-1.11
190610,5.75,2.08
190611,2.40,-1.72
190612,3.45,-0.55
190701,3.76,0.03
190702,2.65,-0.63
190703,1.97,-2.22
190704,3.08,-1.05
190705,4.35,0.42
190706,3.50,-0.20
190707,1.73,-2.18
190708,1.53,-2.70
190709,8.40,4.41
190710,5.28,1.61
190711,6.35,2.23
190712,5.37,1.37
190801,3.77,0.04
190802,5.91,2.63
190803,3.56,-0.63
190804,2.12,-2.01
190805,6.08,2.15
190806,1.89,-1.81
190807,4.75,0.84
190808,6.29,2.06
190809,1.26,-2.73
190810,2.02,-1.65
190811,0.95,-3.17
190812,3.74,-0.26
190901,3.69,-0.04
190902,6.93,3.65
190903,4.10,-0.09
190904,5.96,1.83
190905,3.25,-0.68
190906,2.85,-0.85
190907,1.80,-2.11
190908,4.17,-0.06
190909,4.91,0.92
190910,1.50,-2.17
190911,2.42,-1.70
190912,3.81,-0.19
191001,6.45,2.72
191002,4.39,1.11
191003,1.64,-2.55
191004,3.90,-0.23
191005,2.97,-0.96
191006,4.22,0.52
191007,2.34,-1.57
191008,2.99,-1.24
191009,3.11,-0.88
191010,1.59,-2.08
191011,4.80,0.68
191012,2.52,-1.48
191101,3.22,-0.51
191102,2.78,-0.50
191103,3.97,-0.22
191104,3.28,-0.85
191105,1.40,-2.53
191106,2.54,-1.16
191107,3.10,-0.81
191108,6.69,2.46
191109,3.21,-0.78
191110,6.15,2.48
191111,5.62,1.50
191112,3.36,-0.64
191201,2.33,-1.40
191202,2.64,-0.64
191203,7.91,3.72
191204,4.69,0.56
191205,5.47,1.54
191206,0.87,-2.83
191207,2.87,-1.04
191208,4.58,0.35
191209,2.93,-1.06
191210,2.78,-0.89
191211,4.22,0.10
191212,5.27,1.27
191301,3.45,-0.28
191302,2.80,-0.48
191303,6.02,1.83
191304,5.64,1.51
191305,3.39,-0.54
191306,1.45,-2.25
191307,2.10,-1.81
191308,3.56,-0.67
191309,3.56,-0.43
191310,8.92,5.25
191311,2.79,-1.33
191312,3.47,-0.53
191401,3.44,-0.29
191402,3.41,0.13
191403,4.58,0.39
191404,4.65,0.52
191405,2.79,-1.14
191406,2.16,-1.54
191407,4.02,0.11
191408,2.24,-1.99
191409,0.39,-3.60
191410,3.14,-0.53
191411,3.03,-1.09
191412,3.72,-0.28
191501,7.14,3.41
191502,5.76,2.48
191503,0.28,-3.91
191504,2.19,-1.94
191505,2.71,-1.22
191506,1.81,-1.89
191507,6.37,2.46
191508,7.92,3.69
191509,2.42,-1.57
191510,2.98,-0.69
191511,2.39,-1.73
191512,5.03,1.03
191601,1.51,-2.22
