Date,Region1,Region2,Difference
190001,20.6,11.9,8.7
190101,18.7,9.1,9.6
190201,17.9,10.1,7.7
190301,19.8,10.9,8.9
190401,13.6,5.4,8.3
190501,16.9,6.5,10.4
190601,23.7,15.0,8.8
190701,19.4,6.4,13.0
190801,20.8,12.2,8.5
190901,21.3,10.7,10.6
191001,21.3,13.9,7.4
191101,21.7,10.2,11.5
191201,12.7,4.6,8.1
191301,26.5,16.5,10.0
191401,19.4,7.4,12.0
191501,22.8,12.8,10.0
191601,22.2,12.4,9.8
191701,20.0,9.8,10.2
191801,12.5,5.1,7.4
191901,22.6,12.5,10.1
192001,13.7,3.4,10.3
192101,20.9,11.9,9.0
192201,17.1,7.8,9.2
192301,17.9,7.9,10.1
192401,21.5,10.7,10.7
192501,17.4,4.5,12.9
192601,20.6,9.9,10.6
192701,19.2,12.3,6.9
192801,21.6,11.3,10.3
192901,19.3,10.4,8.9
193001,20.6,10.5,10.1
193101,19.6,10.0,9.6
193201,28.0,17.4,10.6
193301,25.6,17.1,8.6
193401,21.7,8.4,13.3
193501,17.7,7.2,10.5
193601,19.5,11.4,8.1
193701,26.7,16.1,10.6
193801,19.7,10.2,9.5
193901,19.4,10.0,9.5
194001,14.3,7.6,6.7
194101,17.6,8.8,8.8
194201,18.7,9.8,9.0
194301,18.2,7.6,10.7
194401,20.8,12.4,8.5
194501,15.4,8.3,7.1
194601,20.2,10.3,9.9
194701,22.8,11.2,11.7
194801,15.3,8.0,7.3
194901,25.4,14.8,10.7
195001,26.0,14.6,11.4
195101,23.1,14.1,9.0
195201,23.2,12.6,10.6
195301,24.9,15.8,9.1
195401,18.2,8.7,9.5
195501,18.8,10.7,8.1
195601,21.1,17.4,3.6
195701,16.0,5.0,11.0
195801,21.1,16.8,4.4
195901,19.6,11.3,8.4
196001,20.8,12.3,8.5
196101,15.1,6.1,9.0
196201,20.2,10.1,10.2
196301,18.5,12.4,6.0
196401,21.6,14.2,7.4
196501,17.3,8.6,8.7
196601,19.5,13.6,5.9
196701,23.4,14.0,9.4
196801,16.2,7.3,8.9
196901,18.9,13.1,5.8
197001,13.2,5.9,7.3
197101,15.6,6.0,9.6
197201,21.4,10.8,10.6
197301,22.6,13.4,9.3
197401,22.0,11.2,10.8
197501,24.2,12.8,11.3
197601,17.5,8.1,9.4
197701,13.6,7.2,6.4
197801,19.8,11.4,8.4
197901,23.3,14.6,8.7
198001,21.0,12.6,8.4
198101,13.5,5.6,7.8
198201,14.6,4.9,9.7
198301,21.4,14.0,7.4
198401,17.4,8.7,8.7
198501,16.6,6.9,9.7
198601,21.8,13.6,8.2
198701,20.5,10.6,9.9
198801,17.6,11.1,6.5
198901,23.0,12.9,10.1
199001,26.9,17.5,9.4
199101,20.7,9.9,10.9
199201,21.9,11.6,10.3
199301,22.7,11.9,10.8
199401,15.5,4.3,11.1
199501,25.2,16.0,9.2
199601,20.6,11.5,9.1
199701,21.2,11.4,9.7
199801,26.0,14.7,11.2
199901,22.4,12.1,10.3
200001,19.3,11.5,7.8
200101,20.0,10.8,9.2
200201,25.5,16.4,9.0
200301,16.7,7.2,9.5
200401,14.5,5.0,9.5
200501,19.4,9.2,10.3
200601,26.7,18.0,8.7
200701,24.3,13.6,10.7
200801,22.9,14.7,8.2
200901,16.5,6.6,10.0
201001,21.0,16.0,5.0
201101,18.2,12.4,5.8
201201,24.5,14.4,10.1
201301,22.0,12.2,9.8
201401,18.4,11.5,6.9
201501,18.3,9.6,8.8
201601,22.8,15.7,7.1
201701,25.4,17.1,8.3
201801,20.0,12.4,7.6
201901,21.8,11.9,9.9
202001,25.3,16.4,8.9
202101,22.4,16.5,5.9
202201,18.8,8.7,10.1
202301,29.3,19.5,9.7
202401,25.3,16.0,9.3
